,LEFT_ID,RIGHT_ID,label
0,DOID:0014667,PCA3,1
1,DOID:3068,mir30a,1
2,DOID:3068,mir20a,1
3,DOID:3068,mir210,1
4,DOID:3068,mir218,1
5,DOID:3068,mir222,1
6,DOID:3068,mir23b,1
7,DOID:3068,mir26a,1
8,DOID:3068,mir27b,1
9,DOID:3068,mir29a,1
10,DOID:3068,mir302a,1
11,DOID:3068,mir302b,1
12,DOID:3068,mir302c,1
13,DOID:3068,mir30c,1
14,DOID:305,mir504,1
15,DOID:3068,mir32,1
16,DOID:3068,mir323a,1
17,DOID:3068,mir342,1
18,DOID:3068,mir34a,1
19,DOID:3068,mir367,1
20,DOID:3068,mir381,1
21,DOID:3068,mir452,1
22,DOID:3068,mir7,1
23,DOID:3068,mir92a,1
24,DOID:3068,mir95,1
25,DOID:3068,mir184,1
26,DOID:3068,mir208a,1
27,DOID:3068,mir206,1
28,DOID:3068,mir205,1
29,DOID:3068,mir200b,1
30,DOID:305,mir874,1
31,DOID:305,mir499b,1
32,DOID:3068,let7d,1
33,DOID:3068,mir101,1
34,DOID:3068,mir10b,1
35,DOID:3068,mir124,1
36,DOID:3068,mir128,1
37,DOID:3068,mir134,1
38,DOID:3068,mir142,1
39,DOID:3068,mir143,1
40,DOID:3068,mir145,1
41,DOID:3068,mir146a,1
42,DOID:3068,mir146b,1
43,DOID:3068,mir151a,1
44,DOID:3068,mir155,1
45,DOID:3068,mir15a,1
46,DOID:3068,mir16,1
47,DOID:3068,mir17,1
48,DOID:3068,mir181c,1
49,DOID:3068,mir181d,1
50,DOID:3068,mir18a,1
51,DOID:3068,mir19a,1
52,DOID:3068,mir19b,1
53,DOID:3068,mir153,1
54,DOID:3068,mir539,1
55,DOID:3068,mir149,1
56,DOID:3069,mir146a,1
57,DOID:3069,mir150,1
58,DOID:3069,mir151a,1
59,DOID:3069,mir155,1
60,DOID:3069,mir15a,1
61,DOID:3069,mir15b,1
62,DOID:3069,mir17,1
63,DOID:3069,mir181a,1
64,DOID:3069,mir181b,1
65,DOID:3069,mir181c,1
66,DOID:3069,mir181d,1
67,DOID:3069,mir183,1
68,DOID:3069,mir197,1
69,DOID:3069,mir200b,1
70,DOID:3069,mir205,1
71,DOID:3069,mir206,1
72,DOID:3069,mir208a,1
73,DOID:3069,mir20b,1
74,DOID:3069,mir21,1
75,DOID:3069,mir210,1
76,DOID:3069,mir22,1
77,DOID:3069,mir221,1
78,DOID:3069,mir26a,1
79,DOID:3069,mir29a,1
80,DOID:3069,mir148a,1
81,DOID:3069,mir145,1
82,DOID:3068,mir139,1
83,DOID:3069,mir142,1
84,DOID:3068,mir455,1
85,DOID:3068,mir491,1
86,DOID:3068,mir208b,1
87,DOID:3068,mir376a,1
88,DOID:3068,mir193a,1
89,DOID:3068,mir708,1
90,DOID:3068,mir885,1
91,DOID:3068,mir504,1
92,DOID:3068,mir873,1
93,DOID:3068,mir329,1
94,DOID:3068,mir3163,1
95,DOID:3068,mir1305,1
96,DOID:3068,mir1260a,1
97,DOID:3068,mir200,1
98,DOID:3069,let7a,1
99,DOID:3069,mir101,1
100,DOID:3069,mir107,1
101,DOID:3069,mir10b,1
102,DOID:3069,mir124,1
103,DOID:3069,mir125b,1
104,DOID:3069,mir128,1
105,DOID:3069,mir133a,1
106,DOID:3069,mir134,1
107,DOID:305,mir1827,1
108,DOID:305,mir489,1
109,DOID:3118,mir29c,1
110,DOID:305,mir125b,1
111,DOID:305,let7c,1
112,DOID:305,let7d,1
113,DOID:305,let7i,1
114,DOID:305,mir100,1
115,DOID:305,mir101,1
116,DOID:305,mir103a,1
117,DOID:305,mir106a,1
118,DOID:305,mir106b,1
119,DOID:305,mir10b,1
120,DOID:305,mir1,1
121,DOID:305,mir125a,1
122,DOID:305,mir126,1
123,DOID:305,mir519a,1
124,DOID:305,mir129,1
125,DOID:305,mir130a,1
126,DOID:305,mir133a,1
127,DOID:305,mir140,1
128,DOID:305,mir143,1
129,DOID:305,mir145,1
130,DOID:305,mir146a,1
131,DOID:305,mir146b,1
132,DOID:305,mir148a,1
133,DOID:305,mir151a,1
134,DOID:305,mir152,1
135,DOID:305,let7a,1
136,DOID:303,mir212,1
137,DOID:303,let7d,1
138,DOID:3007,mir21,1
139,DOID:299,mir20a,1
140,DOID:299,mir21,1
141,DOID:299,mir210,1
142,DOID:299,mir215,1
143,DOID:299,mir223,1
144,DOID:299,mir25,1
145,DOID:299,mir26b,1
146,DOID:299,mir34b,1
147,DOID:299,mir429,1
148,DOID:299,mir92a,1
149,DOID:299,mir95,1
150,DOID:299,mir99b,1
151,DOID:299,mir31,1
152,DOID:299,mir93,1
153,DOID:299,mir193b,1
154,DOID:299,mir449a,1
155,DOID:299,mir449b,1
156,DOID:2994,mir302b,1
157,DOID:2994,mir372,1
158,DOID:2994,mir373,1
159,DOID:2998,mir199a,1
160,DOID:2998,mir372,1
161,DOID:2998,mir629,1
162,DOID:305,mir155,1
163,DOID:305,mir181b,1
164,DOID:305,mir182,1
165,DOID:305,mir29b,1
166,DOID:305,mir302a,1
167,DOID:305,mir30a,1
168,DOID:305,mir34a,1
169,DOID:305,mir34b,1
170,DOID:305,mir34c,1
171,DOID:305,mir372,1
172,DOID:305,mir373,1
173,DOID:305,mir375,1
174,DOID:305,mir423,1
175,DOID:305,mir429,1
176,DOID:305,mir499a,1
177,DOID:305,mir9,1
178,DOID:305,mir99b,1
179,DOID:305,mir31,1
180,DOID:305,mir93,1
181,DOID:305,mir10a,1
182,DOID:305,mir185,1
183,DOID:305,mir486,1
184,DOID:305,mir371a,1
185,DOID:305,mir193a,1
186,DOID:305,mir302e,1
187,DOID:305,mir302f,1
188,DOID:305,mir138,1
189,DOID:305,mir29c,1
190,DOID:305,mir296,1
191,DOID:305,mir183,1
192,DOID:305,mir27b,1
193,DOID:305,mir18a,1
194,DOID:305,mir196a,1
195,DOID:305,mir197,1
196,DOID:305,mir199a,1
197,DOID:305,mir200a,1
198,DOID:305,mir200c,1
199,DOID:305,mir204,1
200,DOID:305,mir205,1
201,DOID:305,mir20a,1
202,DOID:305,mir20b,1
203,DOID:305,mir21,1
204,DOID:305,mir210,1
205,DOID:305,mir211,1
